3,GREEDY,G2OPT_B,G2OPT_F
0.000000,147330.833267,130691.748630,130930.358107
1.000000,147330.833267,130691.748630,130930.358107
2.000000,152592.311522,131467.088006,131228.788273
3.000000,151232.355147,134315.597546,134778.737893
4.000000,152488.333669,130343.393161,130505.298889
5.000000,154067.466532,134415.865796,134931.000883
6.000000,149988.021356,128896.302205,130570.762908
7.000000,154568.919122,133936.928088,134262.171638
8.000000,156731.466568,135686.820554,136915.342900
9.000000,149245.910067,134545.903470,135104.240652
10.000000,157577.565176,135610.563826,137572.925200
11.000000,155649.460497,135378.493315,134452.676572
12.000000,152976.487774,133523.418414,134034.965071
13.000000,151468.517537,132652.634995,134187.716391
14.000000,150841.629630,132487.128004,133988.328618
15.000000,159056.761157,134634.278186,133740.832043
16.000000,157867.224197,133600.759193,135758.521652
17.000000,157574.660062,131304.833565,133087.402080
18.000000,151226.259041,135206.745206,135081.896733
19.000000,148883.204369,130580.892015,131652.111594
20.000000,139707.182760,128114.061634,129671.124380
21.000000,153593.256569,136420.725326,136495.864265
22.000000,153443.395054,130806.344635,132987.097867
23.000000,156451.680577,135146.140009,136406.966626
24.000000,152488.938346,131574.146050,132203.916936
25.000000,161724.341022,137197.981150,137487.410916
26.000000,155723.956775,138379.723571,138607.596750
27.000000,152883.905222,133291.753192,133647.885036
28.000000,155366.554360,137943.789598,137811.362312
29.000000,158694.875594,135794.344213,136267.818288
30.000000,153489.896866,134247.665583,134260.758353
31.000000,159151.376847,134784.898062,136598.677553
32.000000,143992.964671,129922.148924,131688.970978
33.000000,154119.064326,134038.086253,134218.589677
34.000000,153317.528049,134021.419754,135251.635338
35.000000,147949.760462,131490.965691,132268.030325
36.000000,152632.391839,133950.859575,136054.545482
37.000000,161006.092608,136701.651767,135842.909852
38.000000,155361.066734,133193.885711,136055.878029
39.000000,155856.341951,133604.393235,135352.105299
40.000000,148231.194239,128760.579348,130290.660056
41.000000,152968.643271,135548.403701,136091.403142
42.000000,150500.276186,133890.051815,134453.533554
43.000000,161955.451730,134825.522507,136267.992978
44.000000,156571.789326,135747.767299,135479.828916
45.000000,151033.483111,130862.880171,131891.857194
46.000000,153031.812195,132034.727861,133021.664581
47.000000,154917.712502,135699.279850,136110.091166
48.000000,159081.864991,134041.966899,134791.221369
49.000000,152965.510893,134313.004554,135151.507330
50.000000,156912.790163,135649.763463,134530.924752
51.000000,147574.755606,130109.624648,131556.862701
52.000000,152444.333636,134100.146040,134745.547092
53.000000,156766.232724,133588.006867,135189.524123
54.000000,155855.337219,134620.503021,135583.361265
55.000000,143370.135550,129451.950038,130239.223223
56.000000,156071.148176,135698.193817,136929.623507
57.000000,154557.955682,133884.564029,134659.255063
58.000000,149695.300324,131661.168629,132045.677624
59.000000,148328.495604,129458.176706,131202.955119
60.000000,155503.675183,132377.314200,133739.122527
61.000000,147667.029513,132959.717034,134112.717050
62.000000,164609.050189,136412.219574,137622.786309
63.000000,153231.180967,134103.908698,135487.290534
64.000000,152057.071222,131694.240576,132988.521349
65.000000,155002.771716,135496.450807,138098.256639
66.000000,151423.799041,129402.036890,130879.313420
67.000000,157158.975169,135710.653051,135471.719962
68.000000,161063.966272,133783.295800,134869.654220
69.000000,149982.877627,129412.167789,131476.620264
70.000000,154953.121910,134263.146809,135374.072615
71.000000,157080.370343,135853.990559,138057.314180
72.000000,158790.665493,137230.555249,138011.765635
73.000000,153881.156165,132212.303586,133647.278144
74.000000,151701.098715,133849.368447,135415.230191
75.000000,153126.566534,132414.092100,132918.861653
76.000000,152223.979208,134448.028528,135347.526998
77.000000,159026.632375,135157.831808,135712.095579
78.000000,152932.767649,134864.471981,136280.474829
79.000000,154432.946523,135903.390474,137637.294711
80.000000,153592.164208,134956.880757,135930.656521
81.000000,160000.673240,135976.043725,137653.922049
82.000000,155118.787742,134998.328657,134932.498552
83.000000,149943.090428,132135.330872,132742.264739
84.000000,150863.139810,134695.896834,135740.365518
85.000000,152551.885879,132636.216159,132872.953226
86.000000,151031.913930,128695.730692,128521.411612
87.000000,151583.840754,131220.467687,132145.383312
88.000000,155452.846661,134170.799969,133377.696237
89.000000,151244.422318,136512.052970,136268.076712
90.000000,151962.178199,131397.091744,131768.812283
91.000000,151851.465117,135299.445216,136339.028072
92.000000,154274.775043,130710.852558,132346.200339
93.000000,150126.641002,132521.385544,133649.360992
94.000000,145935.632783,130262.948226,130106.527583
95.000000,146620.702008,133256.408195,132692.831193
96.000000,156225.609677,135707.039927,136952.883712
97.000000,158226.465242,137357.135373,138096.450960
98.000000,152351.760676,134012.541023,134222.289382
99.000000,158440.489394,138371.008160,138308.580982
